Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
381710,9.45,-1.52,3.05,-0.06,-0.05,-0.04,fall_forward
381730,9.50,-1.67,2.93,-0.08,-0.06,-0.05,fall_forward
381750,9.40,-1.69,2.95,-0.04,-0.03,-0.06,fall_forward
381770,9.65,-1.44,3.18,-0.06,-0.05,-0.06,fall_forward
381790,9.49,-1.66,2.89,-0.06,-0.08,-0.04,fall_forward
381810,9.47,-1.61,3.22,-0.10,-0.10,-0.07,fall_forward
381835,9.48,-1.68,2.67,-0.10,-0.04,-0.06,fall_forward
381854,9.56,-1.72,2.83,-0.04,-0.05,-0.05,fall_forward
381874,9.47,-1.60,3.00,-0.01,-0.03,-0.04,fall_forward
381894,9.49,-1.67,3.07,-0.05,-0.03,-0.04,fall_forward
381914,9.59,-1.66,2.98,-0.06,-0.03,-0.04,fall_forward
381934,9.56,-1.66,3.01,-0.05,-0.02,-0.04,fall_forward
381954,9.49,-1.74,2.80,-0.03,-0.03,-0.04,fall_forward
381974,9.55,-1.68,2.99,-0.03,-0.03,-0.04,fall_forward
381994,9.48,-1.64,3.02,-0.02,-0.02,-0.04,fall_forward
382014,9.44,-1.60,2.90,-0.03,0.00,-0.03,fall_forward
382034,9.44,-1.66,2.92,-0.04,-0.01,-0.04,fall_forward
382054,9.50,-1.70,2.90,-0.03,-0.00,-0.04,fall_forward
382074,9.49,-1.69,2.91,0.01,-0.02,-0.03,fall_forward
382094,9.52,-1.69,3.00,0.01,-0.03,-0.03,fall_forward
382114,9.52,-1.66,3.04,0.00,-0.03,-0.03,fall_forward
382134,9.54,-1.62,2.97,-0.00,-0.03,-0.03,fall_forward
382154,9.52,-1.55,2.97,-0.01,-0.02,-0.04,fall_forward
382174,9.51,-1.55,2.83,-0.01,-0.03,-0.04,fall_forward
382194,9.54,-1.60,2.97,-0.03,-0.02,-0.04,fall_forward
382214,9.49,-1.64,2.93,-0.03,-0.02,-0.04,fall_forward
382234,9.51,-1.65,2.93,-0.02,-0.02,-0.04,fall_forward
382254,9.57,-1.58,2.92,-0.00,-0.03,-0.04,fall_forward
382274,9.56,-1.57,3.02,-0.01,-0.03,-0.04,fall_forward
382294,9.50,-1.57,3.05,-0.01,-0.03,-0.04,fall_forward
382314,9.55,-1.56,2.85,-0.01,-0.01,-0.04,fall_forward
382334,9.62,-1.62,3.01,-0.02,-0.00,-0.04,fall_forward
382354,9.43,-1.72,2.83,0.00,-0.00,-0.05,fall_forward
382374,9.42,-1.52,3.27,-0.00,-0.03,-0.06,fall_forward
382394,9.62,-1.51,2.88,-0.01,0.01,-0.04,fall_forward
382414,9.45,-1.58,3.10,0.02,-0.03,-0.04,fall_forward
382434,9.52,-1.46,3.14,-0.06,-0.04,-0.05,fall_forward
382455,9.54,-1.64,2.79,-0.04,-0.05,-0.06,fall_forward
382474,9.56,-1.55,2.77,0.01,-0.02,-0.06,fall_forward
382494,9.43,-1.60,2.91,0.01,-0.03,-0.04,fall_forward
382514,9.54,-1.52,3.06,-0.02,-0.03,-0.05,fall_forward
382534,9.49,-1.55,3.06,-0.03,-0.02,-0.04,fall_forward
382554,9.52,-1.63,2.89,-0.02,-0.05,-0.04,fall_forward
382574,9.59,-1.58,2.91,-0.02,-0.03,-0.05,fall_forward
382594,9.69,-1.49,2.99,-0.02,-0.03,-0.05,fall_forward
382614,9.65,-1.53,2.87,0.01,-0.02,-0.04,fall_forward
382634,9.53,-1.55,3.03,0.02,0.00,-0.04,fall_forward
382654,9.49,-1.52,2.96,0.01,0.01,-0.05,fall_forward
382674,9.49,-1.48,2.93,0.01,-0.00,-0.05,fall_forward
382694,9.59,-1.51,2.93,0.01,-0.01,-0.06,fall_forward
382714,9.53,-1.54,2.86,0.02,-0.01,-0.06,fall_forward
382734,9.53,-1.50,2.98,0.01,-0.01,-0.05,fall_forward
382756,9.51,-1.51,3.04,0.01,-0.01,-0.05,fall_forward
382775,9.51,-1.47,2.93,-0.00,-0.01,-0.05,fall_forward
382795,9.54,-1.47,2.98,-0.02,-0.01,-0.05,fall_forward
382815,9.56,-1.51,3.10,-0.01,-0.01,-0.05,fall_forward
382835,9.50,-1.51,3.05,-0.02,-0.01,-0.05,fall_forward
382855,9.57,-1.48,3.09,-0.01,-0.01,-0.05,fall_forward
382875,9.56,-1.44,3.02,-0.00,-0.00,-0.05,fall_forward
382895,9.57,-1.47,3.17,-0.00,-0.00,-0.04,fall_forward
382915,9.55,-1.42,3.00,-0.01,-0.01,-0.04,fall_forward
382935,9.51,-1.47,3.04,-0.03,-0.00,-0.04,fall_forward
382955,9.55,-1.59,2.90,-0.02,0.01,-0.04,fall_forward
382975,9.42,-1.59,2.91,0.02,0.00,-0.04,fall_forward
382995,9.48,-1.45,3.06,0.01,-0.02,-0.04,fall_forward
383015,9.51,-1.47,3.12,0.00,-0.03,-0.02,fall_forward
383035,9.46,-1.42,3.17,-0.03,-0.03,-0.03,fall_forward
383055,9.57,-1.54,2.82,-0.01,-0.04,-0.03,fall_forward
383075,9.60,-1.56,3.03,0.03,-0.03,-0.03,fall_forward
383095,9.45,-1.57,2.99,0.03,0.00,-0.03,fall_forward
383115,9.45,-1.50,3.15,0.02,-0.02,-0.03,fall_forward
383135,9.56,-1.43,3.12,0.00,-0.03,-0.02,fall_forward
383155,9.54,-1.49,2.98,0.02,-0.04,-0.02,fall_forward
383175,9.50,-1.55,2.92,0.03,-0.02,-0.03,fall_forward
383195,9.54,-1.50,3.17,0.03,-0.02,-0.03,fall_forward
383215,9.51,-1.46,3.12,0.01,-0.03,-0.02,fall_forward
383235,9.53,-1.60,3.01,0.03,-0.03,-0.02,fall_forward
383255,9.45,-1.49,3.19,0.02,-0.02,-0.03,fall_forward
383275,9.45,-1.48,3.01,0.01,-0.03,-0.03,fall_forward
383295,9.52,-1.47,3.02,0.00,-0.04,-0.04,fall_forward
383315,9.56,-1.41,3.02,0.00,-0.03,-0.03,fall_forward
383335,9.46,-1.45,3.03,-0.00,-0.04,-0.03,fall_forward
383355,9.50,-1.44,3.07,-0.00,-0.03,-0.04,fall_forward
383375,9.49,-1.47,3.02,-0.01,-0.04,-0.04,fall_forward
383395,9.55,-1.47,3.15,-0.02,-0.06,-0.03,fall_forward
383415,9.59,-1.41,3.09,-0.03,-0.05,-0.04,fall_forward
383435,9.59,-1.40,3.09,-0.04,-0.04,-0.04,fall_forward
383455,9.50,-1.41,3.09,-0.05,-0.03,-0.04,fall_forward
383475,9.60,-1.48,3.01,-0.06,-0.04,-0.04,fall_forward
383495,9.57,-1.49,3.06,-0.05,-0.03,-0.04,fall_forward
383515,9.51,-1.46,3.09,-0.05,-0.02,-0.04,fall_forward
383535,9.54,-1.46,3.10,-0.05,-0.02,-0.04,fall_forward
383555,9.49,-1.45,3.08,-0.07,-0.02,-0.03,fall_forward
383575,9.50,-1.62,2.89,-0.06,-0.00,-0.03,fall_forward
383595,9.48,-1.62,3.10,-0.02,0.01,-0.04,fall_forward
383615,9.57,-1.33,3.20,-0.04,0.02,-0.04,fall_forward
383635,9.44,-1.43,3.25,-0.06,-0.02,-0.03,fall_forward
383655,9.50,-1.39,3.21,-0.12,-0.02,-0.04,fall_forward
383680,9.55,-1.57,2.96,-0.10,-0.04,-0.04,fall_forward
